FileNo,APINo,SpudDate,completion mo,CurrentWellName,CurrentOperator,Wellbore,WellType,WellStatus,Latitude,Longitude
229,33105001380000,12/15/52,2/1/53,A. M. FRUH     1,NORTHERN PUMP CO.,VERTICAL,OG,DRY,48.526417,-102.942361
159,33105000910000,1/19/53,2/1/53,BEAVER LODGE-MADISON UNIT     O-15,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.293103,-102.933287
147,33053000050000,9/20/52,2/1/53,GEORGE WOLLAN     1,AMERADA HESS CORPORATION,VERTICAL,OG,PA,47.990278,-102.95972
241,33105001430000,1/22/53,2/1/53,TIOGA-MADISON UNIT     G-139,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.497366,-102.904225
262,33105001590000,2/5/53,3/1/53,TIOGA-MADISON UNIT     H-132,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,TA,48.472124,-102.898929
258,33105001550000,1/28/53,3/1/53,BEAVER LODGE-MADISON UNIT     K-23,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.32207,-102.954507
251,33105001480000,1/23/53,3/1/53,BEAVER LODGE-MADISON UNIT     L-20,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.311173,-102.948471
250,33061000230000,1/9/53,3/1/53,TIOGA-MADISON UNIT     L-138,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.493873,-102.877229
259,33105001560000,2/4/53,3/1/53,TIOGA-MADISON UNIT     H-134,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,PA,48.479361,-102.898902
166,33105000980000,2/6/53,3/1/53,TIOGA-MADISON UNIT     I-139,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.497381,-102.893563
239,33061000210000,12/15/52,3/1/53,TIOGA-MADISON UNIT     L-146,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.522809,-102.877048
210,33105001230000,2/2/53,3/1/53,BEAVER LODGE-MADISON UNIT     V-30,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,PA,48.347498,-102.895654
215,33061000160000,2/10/53,3/1/53,TIOGA-MADISON UNIT     M-141,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,PA,48.504714,-102.872162
131,33105000730000,2/2/53,3/1/53,BEAVER LODGE-MADISON UNIT     Q-23,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.322077,-102.922565
223,33105001340000,2/12/53,3/1/53,BEAVER LODGE-MADISON UNIT     K-10,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.275016,-102.954673
257,33105001540000,2/9/53,3/1/53,TIOGA-MADISON UNIT     F-106,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.377576,-102.909618
184,33061000090000,2/18/53,3/1/53,TIOGA-MADISON UNIT     L-126,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.450421,-102.877329
195,33061000120000,2/7/53,3/1/53,TIOGA-MADISON UNIT     K-139,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.497408,-102.882887
218,33105001300000,2/14/53,3/1/53,BEAVER LODGE-MADISON UNIT     O-19,HESS CORPORATION,VERTICAL,OG,PA,48.307523,-102.933286
252,33105001490000,2/16/53,4/1/53,TIOGA-MADISON UNIT     J-138,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.493859,-102.888124
281,33105001690000,2/24/53,4/1/53,BEAVER LODGE-MADISON UNIT     M-3,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.249628,-102.944138
271,33061000250000,3/9/53,4/1/53,TIOGA-MADISON UNIT     L-134,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.479397,-102.877594
263,33105001600000,2/27/53,4/1/53,TIOGA-MADISON UNIT     G-137,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.490256,-102.904344
267,33105001630000,3/10/53,4/1/53,BEAVER LODGE-MADISON UNIT     C-7,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.264197,-102.997525
212,33105001250000,3/15/53,4/1/53,TIOGA-MADISON UNIT     F-140,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.500992,-102.909707
